電影名稱,電影英文名稱,上映日期,下映日期
去唱卡拉OK吧,LETS GO KARAOKE,2024-02-07,2024-03-18
我的完美日常,PERFECT DAYS,2024-03-08,2024-04-17
劇場版 排球少年!! 垃圾場的決戰,HAIKYU THE DUMPSTER BATTLE,2024-04-12,2024-05-22
八戒,PIGSY,2024-05-31,2024-07-10
絕地戰警：生死與共,BAD BOYS RIDE OR DIE,2024-06-05,2024-07-15
加菲貓：農場大冒險,THE GARFIELD MOVIE,2024-06-07,2024-07-17
腦筋急轉彎2,INSIDE OUT 2,2024-06-13,2024-07-23
九龍城寨之圍城 AND 彩蛋篇,TWILIGHT OF THE WARRIORS AND SCENES,2024-06-14,2024-07-24
媽的人生願望,FACE OFF 7 ONE WISH,2024-06-21,2024-07-31
亡命機劫,HIJACK 1971,2024-06-21,2024-07-31
金孫爆富攻略,HOW TO MAKE MILLIONS BEFORE GRANDMA DIES,2024-06-21,2024-07-31
噤界：入侵日,A QUIET PLACE DAY ONE,2024-06-26,2024-08-05
名偵探柯南 100萬美元的五稜星,DETECTIVE CONAN THE MOVIE THE MILLION DOL,2024-06-28,2024-08-07
破浪男女,THE CHRONICLES OF LIBIDOISTS,2024-06-28,2024-08-07
60分鐘亡命直播,DRIVE,2024-06-28,2024-08-07
鬼厄犬,CRIMSON SNOUT,2024-06-28,2024-08-07
神偷奶爸4,DESPICABLE ME 4,2024-07-03,2024-08-12
我想和你在一起,LOVE BESIDE ME,2024-07-05,2024-08-14
找死凶宅,HANDSOME GUYS,2024-07-05,2024-08-14
猛鬼聲泣泣,OH MY GHOST 10 - THE FINALE,2024-07-05,2024-08-14
海關戰線,CUSTOMS FRONTLINE,2024-07-05,2024-08-14
秒速5公分,5 CENTIMETERS PER SECOND,2024-07-05,2024-08-14
荒蕪之地．應許之心,THE PROMISED LAND,2024-07-05,2024-08-14
教宗家的小兒子,KIDNAPPED,2024-07-05,2024-08-14
56種喝采,WEEKEND REBELS,2024-07-05,2024-08-14
異國日記,WORLDS APART,2024-07-05,2024-08-14
彼此的日子,IN OUR DAY,2024-07-05,2024-08-14
DDDD惡魔的破壞 前編,DEAD DEAD DEMONS DEDEDEDE DESTRUCTION PART 1,2024-07-10,2024-08-19
飛月情海,FLY ME TO THE MOON,2024-07-10,2024-08-19
激情年代 (英國國家劇院現場),THE CRUCIBLE NATIONAL THEATRE LIVE,2024-07-11,2024-08-20
凡尼亞 (英國國家劇院現場),VANYA NATIONAL THEATRE LIVE,2024-07-11,2024-08-20
好人赫德 (英國國家劇院現場),GOOD NATIONAL THEATRE LIVE,2024-07-11,2024-08-20
致英格蘭 (英國國家劇院現場),DEAR ENGLAND NATIONAL THEATRE LIVE,2024-07-11,2024-08-20
愛的噩夢,SUFFOCATING LOVE,2024-07-12,2024-08-21
劇場版藍色監獄 -EPIOSODE 凪-,BLUE LOCK THE MOVIE-EPISODE NAGI-,2024-07-12,2024-08-21
長腿,LONGLEGS,2024-07-12,2024-08-21
前途海量,DOG DAYS ARE OVER,2024-07-12,2024-08-21
鳥,THE BIRDS,2024-07-12,2024-08-21
電影哆啦A夢：大雄的地球交響樂,DORAEMON THE MOVIE NOBITAS EARTH SYMPHONY,2024-07-12,2024-08-21
角落小夥伴電影版：奇幻的玩具工廠,SUMIKKOGURASHI THE PATCHED UP TOY FACTO,2024-07-19,2024-08-28
舞台【刀劍亂舞】- 心傳 - 現場直播,TOUKEN RANBU THE STAGE LIVE VIEWING,2024-07-21,2024-08-30
死侍與金鋼狼,DEADPOOL AND WOLVERINE,2024-07-24,2024-09-02
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,BLACKPINK WORLD TOUR BORN PINK IN CINEMAS,2024-07-31,2024-09-09
OZONE 青春冒險,OZONE DREAM ON,2024-08-07,2024-09-16
